Server_ID,Hostname,IP_Address,OS_Type,Server_Location,Admin_Name,Server_Cluster,Admin_Email,Admin_Phone
SRV080,host-080,10.0.0.157,Windows,Singapore,Alice,CL-9,alice@xyzcorp.com,+1-202-531-6896
SRV081,host-081,10.0.91.217,Windows,London,Ethan,CL-4,ethan@xyzcorp.com,+1-202-853-1213
SRV082,host-082,10.0.237.227,Windows,New York,Ethan,CL-10,ethan@xyzcorp.com,+1-202-853-1213
SRV083,host-083,10.0.55.252,Linux,Singapore,Diana,CL-5,diana@xyzcorp.com,+1-202-789-3073
SRV084,host-084,10.0.44.81,Windows,Singapore,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215
SRV085,host-085,10.0.95.110,Linux,London,Alice,CL-3,alice@xyzcorp.com,+1-202-531-6896
SRV086,host-086,10.0.41.192,Linux,New York,Hannah,CL-4,hannah@xyzcorp.com,+1-202-151-5538
SRV087,host-087,10.0.22.191,Windows,London,Bob,CL-3,bob@xyzcorp.com,+1-202-691-4215
SRV088,host-088,10.0.185.59,Windows,London,Fiona,CL-3,fiona@xyzcorp.com,+1-202-230-1591
SRV089,host-089,10.0.225.14,Windows,Frankfurt,Hannah,CL-1,hannah@xyzcorp.com,+1-202-151-5538
SRV090,host-090,10.0.69.52,Windows,Mumbai,George,CL-5,george@xyzcorp.com,+1-202-749-4405
SRV091,host-091,10.0.22.9,Windows,London,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538
SRV092,host-092,10.0.236.19,Linux,Mumbai,Bob,CL-5,bob@xyzcorp.com,+1-202-691-4215
SRV093,host-093,10.0.220.152,Linux,Mumbai,Charlie,CL-5,charlie@xyzcorp.com,+1-202-817-1167
SRV094,host-094,10.0.160.175,Linux,Singapore,Ethan,CL-8,ethan@xyzcorp.com,+1-202-853-1213
SRV095,host-095,10.0.7.2,Windows,Frankfurt,Alice,CL-5,alice@xyzcorp.com,+1-202-531-6896
SRV096,host-096,10.0.247.66,Windows,Frankfurt,Diana,CL-4,diana@xyzcorp.com,+1-202-789-3073
SRV097,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073
SRV098,host-098,10.0.159.144,Windows,London,Alice,CL-9,alice@xyzcorp.com,+1-202-531-6896
SRV099,host-099,10.0.167.179,Linux,Frankfurt,Ethan,CL-2,ethan@xyzcorp.com,+1-202-853-1213
SRV100,host-100,10.0.150.59,Linux,Singapore,Alice,CL-2,alice@xyzcorp.com,+1-202-531-6896
